x,y,time,step,timestamp
496.8933706,496.9315356,3682,-1,2025-05-27T16:37:34.781Z
486.6545274,486.757509,3714,-1,2025-05-27T16:37:34.781Z
461.9072141,462.009713,3738,-1,2025-05-27T16:37:34.781Z
419.0786837,418.7427495,3767,-1,2025-05-27T16:37:34.781Z
355.3824623,353.8115349,3795,-1,2025-05-27T16:37:34.781Z
280.7465435,278.6119857,3824,-1,2025-05-27T16:37:34.781Z
202.2892134,199.4404594,3847,-1,2025-05-27T16:37:34.781Z
132.6118163,129.3467861,3879,-1,2025-05-27T16:37:34.781Z
70.84885769,68.23683861,3912,-1,2025-05-27T16:37:34.781Z
22.2223291,20.29327832,3948,-1,2025-05-27T16:37:34.781Z
-8.123841891,-11.44029688,3979,-1,2025-05-27T16:37:34.781Z
-32.14699915,-34.8544303,4009,-1,2025-05-27T16:37:34.781Z
-42.85470284,-46.03199457,4041,-1,2025-05-27T16:37:34.781Z
-52.00813056,-53.76170868,4076,-1,2025-05-27T16:37:34.781Z
-53.763091,-54.27752536,4110,-1,2025-05-27T16:37:34.781Z
-44.88702189,-44.2047806,4154,-1,2025-05-27T16:37:34.781Z
-38.12577744,-36.87626175,4185,-1,2025-05-27T16:37:34.781Z
-30.21752228,-28.77687492,4215,-1,2025-05-27T16:37:34.781Z
-21.53788386,-19.97313972,4241,-1,2025-05-27T16:37:34.781Z
-12.62516481,-10.73119408,4273,-1,2025-05-27T16:37:34.781Z
-3.89395731,-1.752227858,4297,-1,2025-05-27T16:37:34.781Z
4.613418642,6.671988791,4322,-1,2025-05-27T16:37:34.781Z
12.65299119,14.60787428,4346,-1,2025-05-27T16:37:34.781Z
18.49595323,20.07494698,4374,-1,2025-05-27T16:37:34.781Z
24.89516204,26.6564552,4397,-1,2025-05-27T16:37:34.781Z
30.07937715,31.72326385,4420,-1,2025-05-27T16:37:34.781Z
34.38100567,36.17422328,4447,-1,2025-05-27T16:37:34.781Z
37.07457291,38.20128198,4475,-1,2025-05-27T16:37:34.781Z
40.1864092,41.52171946,4499,-1,2025-05-27T16:37:34.781Z
42.59543568,43.84940808,4526,-1,2025-05-27T16:37:34.781Z
43.60488184,44.78873514,4549,-1,2025-05-27T16:37:34.781Z
44.46896978,45.85548563,4576,-1,2025-05-27T16:37:34.781Z
45.75458062,47.57675122,4599,-1,2025-05-27T16:37:34.781Z
46.69498934,48.70527618,4634,-1,2025-05-27T16:37:34.781Z
46.26322595,47.80985213,4662,-1,2025-05-27T16:37:34.781Z
45.9975922,47.40233085,4691,-1,2025-05-27T16:37:34.781Z
45.64304594,46.6652708,4714,-1,2025-05-27T16:37:34.781Z
44.97518593,46.19793776,4738,-1,2025-05-27T16:37:34.781Z
44.84801419,45.98789333,4763,-1,2025-05-27T16:37:34.781Z
44.15743636,45.2305886,4790,-1,2025-05-27T16:37:34.781Z
44.04590626,44.80517234,4814,-1,2025-05-27T16:37:34.781Z
43.66038845,44.15782754,4842,-1,2025-05-27T16:37:34.781Z
43.30996298,43.85611166,4871,-1,2025-05-27T16:37:34.781Z
43.26105984,43.59943172,4899,-1,2025-05-27T16:37:34.781Z
42.69115734,42.86272211,4923,-1,2025-05-27T16:37:34.781Z
42.726839,43.03018086,4951,-1,2025-05-27T16:37:34.781Z
42.50228188,42.66879598,4975,-1,2025-05-27T16:37:34.781Z
42.0548638,42.11376206,4999,-1,2025-05-27T16:37:34.781Z
41.94446549,41.92157948,5023,-1,2025-05-27T16:37:34.781Z
42.3886152,42.82970992,5052,-1,2025-05-27T16:37:34.781Z
42.85622683,44.26840184,5098,-1,2025-05-27T16:37:34.781Z
42.91791807,44.84030855,5122,-1,2025-05-27T16:37:34.781Z
42.96671625,44.78504161,5147,-1,2025-05-27T16:37:34.781Z
42.74233535,44.18967286,5173,-1,2025-05-27T16:37:34.781Z
42.54725971,43.92507045,5203,-1,2025-05-27T16:37:34.781Z
41.85809796,42.9078786,5228,-1,2025-05-27T16:37:34.781Z
42.06084492,43.3502963,5257,-1,2025-05-27T16:37:34.781Z
41.72429653,42.95712537,5282,-1,2025-05-27T16:37:34.781Z
41.97057841,43.15237657,5307,-1,2025-05-27T16:37:34.781Z
42.19320115,43.33011945,5331,-1,2025-05-27T16:37:34.781Z
42.38953368,44.01134476,5361,-1,2025-05-27T16:37:34.781Z
42.82040202,44.33136581,5386,-1,2025-05-27T16:37:34.781Z
42.40007267,43.80894968,5415,-1,2025-05-27T16:37:34.781Z
42.81944455,44.39847492,5440,-1,2025-05-27T16:37:34.781Z
42.65239206,43.58854719,5471,-1,2025-05-27T16:37:34.781Z
42.5032052,43.14973288,5501,-1,2025-05-27T16:37:34.781Z
42.63484729,43.30365314,5530,-1,2025-05-27T16:37:34.781Z
42.74650735,43.70661334,5563,-1,2025-05-27T16:37:34.781Z
42.57726331,43.79364287,5589,-1,2025-05-27T16:37:34.781Z
42.69116254,44.12779952,5619,-1,2025-05-27T16:37:34.781Z
43.04921801,44.67079313,5648,-1,2025-05-27T16:37:34.781Z
43.35124348,44.86262529,5674,-1,2025-05-27T16:37:34.781Z
43.59993323,45.00969451,5700,-1,2025-05-27T16:37:34.781Z
43.53766378,44.85616114,5726,-1,2025-05-27T16:37:34.781Z
42.94692962,43.9236997,5755,-1,2025-05-27T16:37:34.781Z
42.95709597,44.16631817,5780,-1,2025-05-27T16:37:34.781Z
42.96630195,44.11675204,5810,-1,2025-05-27T16:37:34.781Z
42.97443404,44.07553142,5840,-1,2025-05-27T16:37:34.781Z
42.71972455,44.04210576,5866,-1,2025-05-27T16:37:34.781Z
42.50315425,44.0157597,5891,-1,2025-05-27T16:37:34.781Z
42.58505094,43.99568449,5916,-1,2025-05-27T16:37:34.781Z
42.40023243,43.71930807,5946,-1,2025-05-27T16:37:34.781Z
42.2479233,43.48675816,5975,-1,2025-05-27T16:37:34.781Z
42.12565149,43.2957809,6000,-1,2025-05-27T16:37:34.781Z
42.29212793,43.40479114,6025,-1,2025-05-27T16:37:34.781Z
42.7048148,44.29403994,6050,-1,2025-05-27T16:37:34.781Z
42.27564364,44.01088899,6079,-1,2025-05-27T16:37:34.781Z
42.16996648,44.02350777,6105,-1,2025-05-27T16:37:34.781Z
42.34693795,44.29361864,6130,-1,2025-05-27T16:37:34.781Z
42.24174783,44.25930409,6157,-1,2025-05-27T16:37:34.781Z
42.15450749,44.2236935,6187,-1,2025-05-27T16:37:34.781Z
42.34570308,44.4502639,6217,-1,2025-05-27T16:37:34.781Z
42.51278964,44.63932266,6243,-1,2025-05-27T16:37:34.781Z
42.65545496,44.5314681,6270,-1,2025-05-27T16:37:34.781Z
42.25098352,43.64559876,6301,-1,2025-05-27T16:37:34.781Z
41.90279241,42.88673118,6333,-1,2025-05-27T16:37:34.781Z
41.87167798,43.03688139,6359,-1,2025-05-27T16:37:34.781Z
42.11551929,43.44763129,6388,-1,2025-05-27T16:37:34.781Z
42.06886927,43.28894959,6414,-1,2025-05-27T16:37:34.781Z
42.29342574,43.42207353,6442,-1,2025-05-27T16:37:34.781Z
42.22548723,43.28153407,6468,-1,2025-05-27T16:37:34.781Z
41.90466677,42.90489294,6498,-1,2025-05-27T16:37:34.781Z
41.89368508,42.5909649,6528,-1,2025-05-27T16:37:34.781Z
41.88979119,42.59750473,6553,-1,2025-05-27T16:37:34.781Z
41.89128438,42.61828511,6583,-1,2025-05-27T16:37:34.781Z
42.15842196,43.17220823,6609,-1,2025-05-27T16:37:34.781Z
42.38899705,43.65359634,6640,-1,2025-05-27T16:37:34.781Z
42.58344057,44.06235481,6665,-1,2025-05-27T16:37:34.781Z
43.00522914,44.40129231,6691,-1,2025-05-27T16:37:34.781Z
43.35605049,45.19870254,6720,-1,2025-05-27T16:37:34.781Z
43.64057442,45.85880069,6751,-1,2025-05-27T16:37:34.781Z
43.60314967,46.12963668,6781,-1,2025-05-27T16:37:34.781Z
43.55161517,46.06272335,6814,-1,2025-05-27T16:37:34.781Z
44.01515923,47.2798361,6847,-1,2025-05-27T16:37:34.781Z
44.39641399,48.02448074,6881,-1,2025-05-27T16:37:34.781Z
45.22525927,49.39807454,6914,-1,2025-05-27T16:37:34.781Z
45.38405966,49.99183236,6947,-1,2025-05-27T16:37:34.781Z
45.48607625,50.43051177,6982,-1,2025-05-27T16:37:34.781Z
45.54212762,50.47558813,7014,-1,2025-05-27T16:37:34.781Z
45.03856967,49.40347864,7044,-1,2025-05-27T16:37:34.781Z
45.37119037,49.74607665,7074,-1,2025-05-27T16:37:34.781Z
45.64167721,50.00907151,7106,-1,2025-05-27T16:37:34.781Z
46.11729844,50.72632704,7138,-1,2025-05-27T16:37:34.781Z
46.50342135,51.04461116,7175,-1,2025-05-27T16:37:34.781Z
46.28471379,50.49264446,7211,-1,2025-05-27T16:37:34.781Z
45.81060395,49.46289753,7244,-1,2025-05-27T16:37:34.781Z
45.65054752,49.08886963,7277,-1,2025-05-27T16:37:34.781Z
44.98314587,48.24612636,7309,-1,2025-05-27T16:37:34.781Z
45.19700173,48.32010938,7342,-1,2025-05-27T16:37:34.781Z
46.17189065,49.18685472,7376,-1,2025-05-27T16:37:34.781Z
46.21853316,49.41479107,7409,-1,2025-05-27T16:37:34.781Z
45.98258046,49.60626418,7441,-1,2025-05-27T16:37:34.781Z
45.76943996,49.50150229,7474,-1,2025-05-27T16:37:34.781Z
45.58158856,49.40428319,7511,-1,2025-05-27T16:37:34.781Z
45.9433055,49.83993875,7545,-1,2025-05-27T16:37:34.781Z
45.46705243,49.16064291,7578,-1,2025-05-27T16:37:34.781Z
45.05730332,48.31177699,7611,-1,2025-05-27T16:37:34.781Z
44.45116557,47.33173205,7645,-1,2025-05-27T16:37:34.781Z
44.20788215,47.03922958,7680,-1,2025-05-27T16:37:34.781Z
44.80521275,48.13036022,7716,-1,2025-05-27T16:37:34.781Z
44.80973978,48.0423737,7751,-1,2025-05-27T16:37:34.781Z
45.34407551,47.97573617,7791,-1,2025-05-27T16:37:34.781Z
46.32764403,50.2830392,7830,-1,2025-05-27T16:37:34.781Z
46.37452144,50.15886335,7870,-1,2025-05-27T16:37:34.781Z
46.39428629,49.75953163,7905,-1,2025-05-27T16:37:34.781Z
45.8697984,49.39497962,7942,-1,2025-05-27T16:37:34.781Z
44.88502376,47.50019421,7977,-1,2025-05-27T16:37:34.781Z
45.09055364,47.71541886,8009,-1,2025-05-27T16:37:34.781Z
44.75488232,47.6634992,8043,-1,2025-05-27T16:37:34.781Z
45.22161554,47.41189361,8084,-1,2025-05-27T16:37:34.781Z
46.46254154,49.29321196,8125,-1,2025-05-27T16:37:34.781Z
46.733706,49.33795937,8156,-1,2025-05-27T16:37:34.781Z
46.68272719,49.88105368,8188,-1,2025-05-27T16:37:34.781Z
46.61803219,49.80290041,8225,-1,2025-05-27T16:37:34.781Z
47.06922786,50.76028619,8257,-1,2025-05-27T16:37:34.781Z
47.17749676,51.03241302,8289,-1,2025-05-27T16:37:34.781Z
47.51212051,51.75548533,8320,-1,2025-05-27T16:37:34.781Z
47.25504771,51.55345529,8356,-1,2025-05-27T16:37:34.781Z
47.01551604,51.08100692,8392,-1,2025-05-27T16:37:34.781Z
47.5836073,51.95836598,8423,-1,2025-05-27T16:37:34.781Z
47.27397094,51.37838129,8455,-1,2025-05-27T16:37:34.781Z
47.25660945,51.37938386,8485,-1,2025-05-27T16:37:34.781Z
47.23362165,51.62681426,8518,-1,2025-05-27T16:37:34.781Z
47.73084409,52.60945552,8551,-1,2025-05-27T16:37:34.781Z
47.10132522,51.85929989,8583,-1,2025-05-27T16:37:34.781Z
46.8150122,51.45388293,8618,-1,2025-05-27T16:37:34.781Z
47.35651264,52.40558447,8650,-1,2025-05-27T16:37:34.781Z
47.03624548,51.9023934,8683,-1,2025-05-27T16:37:34.781Z
47.02045739,50.67032334,8719,-1,2025-05-27T16:37:34.781Z
47.79317003,50.66215758,8750,-1,2025-05-27T16:37:34.781Z
47.92765427,49.62261298,8787,-1,2025-05-27T16:37:34.781Z
46.9829019,49.27465493,8822,-1,2025-05-27T16:37:34.781Z
69.72257506,51.36241934,8853,-1,2025-05-27T16:37:34.781Z
89.05819765,53.16682948,8885,-1,2025-05-27T16:37:34.781Z
156.9362042,53.90535266,8918,-1,2025-05-27T16:37:34.781Z
233.8782991,54.49396922,8950,-1,2025-05-27T16:37:34.781Z
286.3293842,56.78067009,8983,-1,2025-05-27T16:37:34.781Z
338.9013898,57.10538114,9017,-1,2025-05-27T16:37:34.781Z
423.2963856,57.82474978,9051,-1,2025-05-27T16:37:34.781Z
518.1134183,56.79242762,9091,-1,2025-05-27T16:37:34.781Z
606.252768,56.8872578,9127,-1,2025-05-27T16:37:34.781Z
618.6962573,56.13692414,9167,-1,2025-05-27T16:37:34.781Z
656.1561707,52.05620222,9205,-1,2025-05-27T16:37:34.781Z
671.1006827,51.18295121,9242,-1,2025-05-27T16:37:34.781Z
695.3529636,48.65928371,9284,-1,2025-05-27T16:37:34.781Z
724.1263589,46.83355738,9320,-1,2025-05-27T16:37:34.781Z
745.2615288,46.1585482,9357,-1,2025-05-27T16:37:34.781Z
751.70323,45.69355626,9394,-1,2025-05-27T16:37:34.781Z
778.3861757,45.40204362,9436,-1,2025-05-27T16:37:34.781Z
793.4465942,44.46498039,9477,-1,2025-05-27T16:37:34.781Z
815.9693288,44.27819563,9519,-1,2025-05-27T16:37:34.781Z
809.4955096,42.37645291,9556,-1,2025-05-27T16:37:34.781Z
792.0721963,42.40898548,9593,-1,2025-05-27T16:37:34.781Z
798.1005269,40.96533502,9633,-1,2025-05-27T16:37:34.781Z
779.7140729,41.9154451,9670,-1,2025-05-27T16:37:34.781Z
767.699809,43.3418566,9712,-1,2025-05-27T16:37:34.781Z
758.5180766,45.14264201,9748,-1,2025-05-27T16:37:34.781Z
735.6197285,46.18080749,9785,-1,2025-05-27T16:37:34.781Z
720.4285041,47.32071782,9826,-1,2025-05-27T16:37:34.781Z
725.5907708,49.0536515,9863,-1,2025-05-27T16:37:34.781Z
723.9690183,51.27461658,9900,-1,2025-05-27T16:37:34.781Z
710.9556254,52.05467285,9941,-1,2025-05-27T16:37:34.781Z
692.7137024,52.89012734,9982,-1,2025-05-27T16:37:34.781Z
699.2765859,50.37055845,10018,-1,2025-05-27T16:37:34.781Z
714.8805102,49.7094004,10054,-1,2025-05-27T16:37:34.781Z
713.6269983,49.375629,10089,-1,2025-05-27T16:37:34.781Z
725.4616766,47.50433503,10123,-1,2025-05-27T16:37:34.781Z
781.671262,46.16637994,10157,-1,2025-05-27T16:37:34.781Z
774.3629396,46.10001498,10194,-1,2025-05-27T16:37:34.781Z
761.0705426,46.87186818,10227,-1,2025-05-27T16:37:34.781Z
759.202558,47.56568503,10260,-1,2025-05-27T16:37:34.781Z
730.2234895,49.48302374,10296,-1,2025-05-27T16:37:34.781Z
720.4332938,50.33202055,10331,-1,2025-05-27T16:37:34.781Z
672.5339257,51.02491988,10366,-1,2025-05-27T16:37:34.781Z
643.9338288,51.83684118,10397,-1,2025-05-27T16:37:34.781Z
615.2249384,53.52926678,10426,-1,2025-05-27T16:37:34.781Z
602.7065709,52.56075819,10463,-1,2025-05-27T16:37:34.781Z
597.4178241,51.66497623,10494,-1,2025-05-27T16:37:34.781Z
578.3397801,52.16702145,10524,-1,2025-05-27T16:37:34.781Z
557.0642049,52.30895535,10551,-1,2025-05-27T16:37:34.781Z
551.0308591,52.40149649,10583,-1,2025-05-27T16:37:34.781Z
547.0823881,51.93045164,10610,-1,2025-05-27T16:37:34.781Z
556.2663133,51.24445516,10643,-1,2025-05-27T16:37:34.781Z
578.2782322,50.38732058,10673,-1,2025-05-27T16:37:34.781Z
596.9588429,50.70680934,10706,-1,2025-05-27T16:37:34.781Z
616.9922066,49.42357407,10739,-1,2025-05-27T16:37:34.781Z
621.2963835,49.1256874,10771,-1,2025-05-27T16:37:34.781Z
634.9074281,48.90078415,10800,-1,2025-05-27T16:37:34.781Z
644.6180433,48.73867627,10831,-1,2025-05-27T16:37:34.781Z
647.1622415,48.10590052,10864,-1,2025-05-27T16:37:34.781Z
687.2761238,46.36965851,10905,-1,2025-05-27T16:37:34.781Z
725.6510577,45.66176552,10947,-1,2025-05-27T16:37:34.781Z
713.2759682,45.11291894,10975,-1,2025-05-27T16:37:34.781Z
713.275019,45.22669759,11004,-1,2025-05-27T16:37:34.781Z
744.3856744,44.33407329,11038,-1,2025-05-27T16:37:34.781Z
728.0384914,44.40737808,11069,-1,2025-05-27T16:37:34.781Z
703.4150937,44.00116494,11097,-1,2025-05-27T16:37:34.781Z
715.9390119,44.74812818,11129,-1,2025-05-27T16:37:34.781Z
706.1443006,44.64329427,11161,-1,2025-05-27T16:37:34.781Z
720.1319099,45.10348849,11189,-1,2025-05-27T16:37:34.781Z
716.3590336,46.30358199,11222,-1,2025-05-27T16:37:34.781Z
734.4503866,46.55090098,11251,-1,2025-05-27T16:37:34.781Z
762.2808871,45.49569141,11305,-1,2025-05-27T16:37:34.781Z
760.2063438,45.3219737,11335,-1,2025-05-27T16:37:34.781Z
735.6510985,43.87232938,11365,-1,2025-05-27T16:37:34.781Z
739.5154449,43.43380168,11400,-1,2025-05-27T16:37:34.781Z
723.8207222,43.0928553,11428,-1,2025-05-27T16:37:34.781Z
732.8072747,43.09918991,11457,-1,2025-05-27T16:37:34.781Z
715.4334384,43.40129508,11486,-1,2025-05-27T16:37:34.781Z
704.7955767,44.99632548,11515,-1,2025-05-27T16:37:34.781Z
698.8778197,46.63393259,11550,-1,2025-05-27T16:37:34.781Z
704.9670906,46.96907023,11579,-1,2025-05-27T16:37:34.781Z
700.3663418,47.47944578,11609,-1,2025-05-27T16:37:34.781Z
682.0607304,47.61514735,11638,-1,2025-05-27T16:37:34.781Z
667.8468175,47.69095194,11668,-1,2025-05-27T16:37:34.781Z
664.9656412,46.67262597,11697,-1,2025-05-27T16:37:34.781Z
658.6312224,45.93195806,11739,-1,2025-05-27T16:37:34.781Z
658.4437119,45.65312011,11782,-1,2025-05-27T16:37:34.781Z
641.8699713,46.46828197,11813,-1,2025-05-27T16:37:34.781Z
638.7606981,46.64698173,11845,-1,2025-05-27T16:37:34.781Z
648.0856251,47.05462874,11875,-1,2025-05-27T16:37:34.781Z
646.2017501,46.34614607,11906,-1,2025-05-27T16:37:34.781Z
657.5639752,47.30046538,11937,-1,2025-05-27T16:37:34.781Z
676.4933493,47.58855252,11968,-1,2025-05-27T16:37:34.781Z
683.024069,47.55582017,12002,-1,2025-05-27T16:37:34.781Z
698.3054102,46.72444642,12033,-1,2025-05-27T16:37:34.781Z
676.7157473,46.52613941,12064,-1,2025-05-27T16:37:34.781Z
683.0313223,45.69772366,12108,-1,2025-05-27T16:37:34.781Z
703.3686044,45.92750103,12152,-1,2025-05-27T16:37:34.781Z
699.0074659,45.87791974,12183,-1,2025-05-27T16:37:34.781Z
700.816334,45.06097427,12214,-1,2025-05-27T16:37:34.781Z
709.3288604,44.37616192,12245,-1,2025-05-27T16:37:34.781Z
721.4690609,44.07776776,12276,-1,2025-05-27T16:37:34.781Z
715.9225965,45.16302133,12311,-1,2025-05-27T16:37:34.781Z
711.950491,45.06940146,12342,-1,2025-05-27T16:37:34.781Z
704.7852106,44.21235441,12376,-1,2025-05-27T16:37:34.781Z
704.1916706,45.06229518,12412,-1,2025-05-27T16:37:34.781Z
693.1182879,45.28276186,12448,-1,2025-05-27T16:37:34.781Z
679.1703174,43.69910398,12492,-1,2025-05-27T16:37:34.781Z
676.6220912,44.66470045,12536,-1,2025-05-27T16:37:34.781Z
676.8495926,45.50976355,12570,-1,2025-05-27T16:37:34.781Z
